text,anger,fear,joy,love,sadness,surprise
A surprising twist in the evening turned everything upside down and I was caught off guard. while i feel an uneasy panic whenever i think about facing that situation again. while the small moments of warmth and laughter today filled me with a quiet joy.,0,1,1,0,0,1
"I couldn't believe my eyes when I saw it; the surprise stopped me in my tracks. however, i was overwhelmed with happiness when my friends surprised me with that celebration. Also, the day felt heavy and every small thing reminded me of how lonely i've been feeling.",0,0,1,0,1,1
I feel completely connected and tender toward them in a way that surprises me. while i find myself replaying that moment and it brings tears i can't hold back. and i can't stop smiling thinking about the wonderful time we had together last night. 😊❤️😢,0,0,1,1,1,0
There is a warmth inside me every time I think about the kindness they show. and a quiet sorrow has settled over me since the news and i can't seem to shake it off. while i was overwhelmed with happiness when my friends surprised me with that celebration.,0,0,1,1,1,0
"Loving them makes even the hardest days feel bearable because of how they comfort me., but i can't stop smiling thinking about the wonderful time we had together last night., but i am seething with anger at the injustice i had to witness today. 😤😊❤️",1,0,1,1,0,0
"I feel completely connected and tender toward them in a way that surprises me., but a quiet sorrow has settled over me since the news and i can't seem to shake it off., but the small moments of warmth and laughter today filled me with a quiet joy.",0,0,1,1,1,0
The sudden turn of events surprised me in a way I didn't expect and shook my plans. and the thought of losing my job terrifies me more than i can explain. while i can't stop smiling thinking about the wonderful time we had together last night. 😨😊😳,0,1,1,0,0,1
"I feel an uneasy panic whenever I think about facing that situation again. however, an unexpected confession left me stunned and i had to pause to process it. and it hurts me deeply when someone i trusted betrays me without a second thought.",1,1,0,0,0,1
"I was completely taken aback by the unexpected message and it left me speechless. Also, even in the crowd i felt empty, like a sadness that sat beside me all day.",0,0,0,0,1,1
"I realized how deeply I care for them when they gently held my hand and didn't let go. while i felt a deep ache in my chest remembering what we've lost and it wouldn't fade., but my blood boils whenever i remember how they treated me that day. 😤❤️😢",1,0,0,1,1,0
